host,metric,reference,baseline,winner,p,p_holm,significant
LS,q100,serene,exp3,serene,0.652175382871869,1.0,False
LS,q100,serene,ucb1,ucb1,0.7096306156058317,1.0,False
LS,q100,serene,roulette,roulette,0.721246592941154,1.0,False
SA,q100,serene,greedy-mean,serene,2.356281382362627e-07,1.1781406911813134e-06,True
SA,q100,serene,roulette,serene,0.10746884001658802,0.4298753600663521,False
SA,q100,serene,ucb1,serene,0.5850270925103997,1.0,False
SA,q100,serene,uniform,serene,0.6891349940127396,1.0,False
SA,q100,serene,exp3,exp3,0.8711688268414225,1.0,False
Tabu,q100,serene,greedy-mean,serene,1.4551915228366852e-11,7.275957614183426e-11,True
Tabu,q100,serene,roulette,serene,6.481461715842578e-07,2.592584686337031e-06,True
Tabu,q100,serene,uniform,serene,7.110442835794288e-07,2.592584686337031e-06,True
Tabu,q100,serene,ucb1,serene,1.404771606093229e-06,2.809543212186458e-06,True
Tabu,q100,serene,exp3,serene,2.2060231010725873e-06,2.809543212186458e-06,True
